"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20210628.CR6","65065","FCRWaterLevel"
"TIMESTAMP","RECORD","Lvl_psi","wtr_pt_9"
"TS","RN","psi","deg C"
"","","Smp","Smp"
"2021-06-30 21:50:00",335,13.05948,9.804458
"2021-06-30 22:00:00",336,13.05837,9.807638
"2021-06-30 22:10:00",337,13.05641,9.815145
"2021-06-30 22:20:00",338,13.05787,9.81396
"2021-06-30 22:30:00",339,13.05585,9.814498
"2021-06-30 22:40:00",340,13.05616,9.811121
"2021-06-30 22:50:00",341,13.05561,9.813978
"2021-06-30 23:00:00",342,13.05508,9.815002
"2021-06-30 23:10:00",343,13.05454,9.812073
"2021-06-30 23:20:00",344,13.05301,9.810853
"2021-06-30 23:30:00",345,13.05279,9.811786
"2021-06-30 23:40:00",346,13.05182,9.807224
"2021-06-30 23:50:00",347,13.05113,9.809253
"2021-07-01 00:00:00",348,13.05045,9.81351
"2021-07-01 00:10:00",349,13.04903,9.81775
"2021-07-01 00:20:00",350,13.04887,9.815954
"2021-07-01 00:30:00",351,13.04788,9.81872
"2021-07-01 00:40:00",352,13.0472,9.818828
"2021-07-01 00:50:00",353,13.04782,9.818882
"2021-07-01 01:00:00",354,13.04611,9.820697
"2021-07-01 01:10:00",355,13.04529,9.816834
"2021-07-01 01:20:00",356,13.04426,9.826358
"2021-07-01 01:30:00",357,13.04296,9.838514
"2021-07-01 01:40:00",358,13.0437,9.818506
"2021-07-01 01:50:00",359,13.04422,9.816025
"2021-07-01 02:00:00",360,13.04387,9.813887
"2021-07-01 02:10:00",361,13.04331,9.816098
"2021-07-01 02:20:00",362,13.04259,9.818936
"2021-07-01 02:30:00",363,13.04226,9.816655
"2021-07-01 02:40:00",364,13.04144,9.818182
"2021-07-01 02:50:00",365,13.04123,9.81926
"2021-07-01 03:00:00",366,13.04022,9.819277
"2021-07-01 03:10:00",367,13.04007,9.823518
"2021-07-01 03:20:00",368,13.04013,9.826088
"2021-07-01 03:30:00",369,13.0398,9.820177
"2021-07-01 03:40:00",370,13.03853,9.820966
"2021-07-01 03:50:00",371,13.03741,9.821147
"2021-07-01 04:00:00",372,13.03853,9.82174
"2021-07-01 04:10:00",373,13.03813,9.820678
"2021-07-01 04:20:00",374,13.03814,9.82138
"2021-07-01 04:30:00",375,13.03687,9.820553
"2021-07-01 04:40:00",376,13.03903,9.822225
"2021-07-01 04:50:00",377,13.03672,9.824812
"2021-07-01 05:00:00",378,13.03676,9.826034
"2021-07-01 05:10:00",379,13.03696,9.826628
"2021-07-01 05:20:00",380,13.03651,9.836786
"2021-07-01 05:30:00",381,13.03705,9.824489
"2021-07-01 05:40:00",382,13.03716,9.83578
"2021-07-01 05:50:00",383,13.03813,9.82413
"2021-07-01 06:00:00",384,13.03832,9.825046
"2021-07-01 06:10:00",385,13.03853,9.827473
"2021-07-01 06:20:00",386,13.03842,9.825263
"2021-07-01 06:30:00",387,13.03887,9.825855
"2021-07-01 06:40:00",388,13.03958,9.827833
"2021-07-01 06:50:00",389,13.03757,9.827634
"2021-07-01 07:00:00",390,13.04002,9.826593
"2021-07-01 07:10:00",391,13.03928,9.827329
"2021-07-01 07:20:00",392,13.03932,9.83391
"2021-07-01 07:30:00",393,13.03952,9.83087
"2021-07-01 07:40:00",394,13.03932,9.828013
"2021-07-01 07:50:00",395,13.03931,9.826593
"2021-07-01 08:00:00",396,13.03876,9.826557
"2021-07-01 09:10:00",403,13.04195,9.827742
"2021-07-01 09:20:00",404,13.04128,9.82582
"2021-07-01 09:30:00",405,13.04249,9.82181
"2021-07-01 09:40:00",406,13.03955,9.823501
"2021-07-01 09:50:00",407,13.04025,9.827365
"2021-07-01 10:00:00",408,13.04026,9.82873
"2021-07-01 10:10:00",409,13.04063,9.830979
"2021-07-01 10:20:00",410,13.04208,9.832076
"2021-07-01 10:30:00",411,13.04229,9.831895
"2021-07-01 10:40:00",412,13.04139,9.828228
"2021-07-01 10:50:00",413,13.04067,9.820571
"2021-07-01 11:00:00",414,13.04118,9.822512
"2021-07-01 11:10:00",415,13.04094,9.824956
"2021-07-01 11:20:00",416,13.0422,9.828264
"2021-07-01 11:30:00",417,13.04534,9.828013
"2021-07-01 11:40:00",418,13.04318,9.83168
"2021-07-01 11:50:00",419,13.04341,9.828461
"2021-07-01 12:00:00",420,13.0385,9.833603
"2021-07-01 12:10:00",421,13.03928,9.828102
"2021-07-01 12:20:00",422,13.0411,9.827508
"2021-07-01 12:30:00",423,13.04528,9.834844
"2021-07-01 12:40:00",424,13.04681,9.836912
"2021-07-01 12:50:00",425,13.04773,9.830925
"2021-07-01 13:00:00",426,13.0461,9.829558
"2021-07-01 13:10:00",427,13.0451,9.831895
"2021-07-01 13:20:00",428,13.04718,9.827006
"2021-07-01 13:30:00",429,13.04837,9.827851
"2021-07-01 13:40:00",430,13.05379,9.828192
"2021-07-01 13:50:00",431,13.05124,9.833873
