"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20240305_chlatest.CR6","4835","EXO_Chla_overlap"
"TIMESTAMP","RECORD","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","Chla_RFU_test","Chla_ugL_test","BGAPC_RFU_test","BGAPC_ugL_test","EXO_wtr_1"
"TS","RN","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-02 06:30:00",39844,4.42,17.68,1.26,1.17,"NAN","NAN","NAN","NAN",3.327
"2026-01-02 06:40:00",39845,3.87,15.44,1.15,1.07,"NAN","NAN","NAN","NAN",3.341
"2026-01-02 06:50:00",39846,4,15.98,1.13,1.04,"NAN","NAN","NAN","NAN",3.309
"2026-01-02 07:00:00",39847,4.03,16.1,1.18,1.1,"NAN","NAN","NAN","NAN",3.308
"2026-01-02 07:10:00",39848,3.88,15.51,1.31,1.22,"NAN","NAN","NAN","NAN",3.304
"2026-01-02 07:20:00",39849,5.9,23.63,1.41,1.32,"NAN","NAN","NAN","NAN",3.314
"2026-01-02 07:30:00",39850,4.79,19.16,1.43,1.34,"NAN","NAN","NAN","NAN",3.273
"2026-01-02 07:40:00",39851,4.34,17.35,1.43,1.34,"NAN","NAN","NAN","NAN",3.293
"2026-01-02 07:50:00",39852,4.4,17.61,1.26,1.17,"NAN","NAN","NAN","NAN",3.304
"2026-01-02 08:00:00",39853,4.09,16.35,1.21,1.13,"NAN","NAN","NAN","NAN",3.296
"2026-01-02 08:10:00",39854,4.56,18.24,1.27,1.19,"NAN","NAN","NAN","NAN",3.278
"2026-01-02 08:20:00",39855,4.38,17.52,1.32,1.23,"NAN","NAN","NAN","NAN",3.269
"2026-01-02 08:30:00",39856,4.38,17.53,1.34,1.26,"NAN","NAN","NAN","NAN",3.264
"2026-01-02 08:40:00",39857,3.8,15.16,1.28,1.2,"NAN","NAN","NAN","NAN",3.275
"2026-01-02 08:50:00",39858,4.35,17.4,1.33,1.25,"NAN","NAN","NAN","NAN",3.279
"2026-01-02 09:00:00",39859,3.45,13.75,1.39,1.3,"NAN","NAN","NAN","NAN",3.285
"2026-01-02 09:10:00",39860,3.58,14.29,0.97,0.9,"NAN","NAN","NAN","NAN",3.281
"2026-01-02 09:20:00",39861,4.23,16.89,1.26,1.17,"NAN","NAN","NAN","NAN",3.29
"2026-01-02 09:30:00",39862,3.64,14.55,1.07,0.99,"NAN","NAN","NAN","NAN",3.309
"2026-01-02 09:40:00",39863,3.49,13.93,1,0.92,"NAN","NAN","NAN","NAN",3.304
"2026-01-02 09:50:00",39864,2.63,10.47,0.98,0.9,"NAN","NAN","NAN","NAN",3.298
"2026-01-02 10:00:00",39865,3.59,14.33,1.02,0.94,"NAN","NAN","NAN","NAN",3.323
"2026-01-02 10:10:00",39866,3.82,15.25,1.21,1.12,"NAN","NAN","NAN","NAN",3.35
"2026-01-02 10:20:00",39867,3.92,15.66,1.25,1.16,"NAN","NAN","NAN","NAN",3.377
"2026-01-02 10:30:00",39868,4.83,19.34,1.05,0.97,"NAN","NAN","NAN","NAN",3.387
"2026-01-02 10:40:00",39869,3.78,15.1,1.07,0.99,"NAN","NAN","NAN","NAN",3.423
"2026-01-02 10:50:00",39870,3.73,14.89,1.08,1,"NAN","NAN","NAN","NAN",3.41
"2026-01-02 11:00:00",39871,3.89,15.55,1.24,1.15,"NAN","NAN","NAN","NAN",3.453
"2026-01-02 11:10:00",39872,4.13,16.49,1.15,1.07,"NAN","NAN","NAN","NAN",3.481
"2026-01-02 11:20:00",39873,3.94,15.74,1.15,1.07,"NAN","NAN","NAN","NAN",3.495
"2026-01-02 11:30:00",39874,3.81,15.2,1.13,1.05,"NAN","NAN","NAN","NAN",3.497
"2026-01-02 11:40:00",39875,3.61,14.4,1.02,0.94,"NAN","NAN","NAN","NAN",3.505
"2026-01-02 11:50:00",39876,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-01-02 12:00:00",39877,3.66,14.59,1.15,1.07,"NAN","NAN","NAN","NAN",3.577
"2026-01-02 12:10:00",39878,3.74,14.93,1.12,1.04,"NAN","NAN","NAN","NAN",3.59
"2026-01-02 12:20:00",39879,3.31,13.18,1.08,1,"NAN","NAN","NAN","NAN",3.588
"2026-01-02 12:30:00",39880,3.9,15.6,1.23,1.15,"NAN","NAN","NAN","NAN",3.608
"2026-01-02 12:40:00",39881,3.33,13.29,1.09,1.01,"NAN","NAN","NAN","NAN",3.62
"2026-01-02 12:50:00",39882,3.82,15.27,1.22,1.13,"NAN","NAN","NAN","NAN",3.645
"2026-01-02 13:00:00",39883,3.65,14.58,1.09,1.01,"NAN","NAN","NAN","NAN",3.659
"2026-01-02 13:10:00",39884,3.65,14.56,1.07,0.99,"NAN","NAN","NAN","NAN",3.656
"2026-01-02 13:20:00",39885,3.73,14.89,1.1,1.02,"NAN","NAN","NAN","NAN",3.662
"2026-01-02 13:30:00",39886,3.88,15.51,1.17,1.09,"NAN","NAN","NAN","NAN",3.696
"2026-01-02 13:40:00",39887,3.53,14.09,1.02,0.94,"NAN","NAN","NAN","NAN",3.692
"2026-01-02 13:50:00",39888,3.8,15.17,1.11,1.03,"NAN","NAN","NAN","NAN",3.701
"2026-01-02 14:00:00",39889,3.67,14.65,1.08,1,"NAN","NAN","NAN","NAN",3.723
"2026-01-02 14:10:00",39890,3.75,14.97,1.03,0.96,"NAN","NAN","NAN","NAN",3.687
"2026-01-02 14:20:00",39891,3.44,13.73,1.02,0.95,"NAN","NAN","NAN","NAN",3.735
"2026-01-02 14:30:00",39892,3.87,15.47,1.09,1.01,"NAN","NAN","NAN","NAN",3.701
"2026-01-02 14:40:00",39893,3.74,14.92,0.97,0.9,"NAN","NAN","NAN","NAN",3.713
"2026-01-02 14:50:00",39894,3.6,14.37,1,0.92,"NAN","NAN","NAN","NAN",3.71
"2026-01-02 15:00:00",39895,3.86,15.4,1.1,1.02,"NAN","NAN","NAN","NAN",3.739
"2026-01-02 15:10:00",39896,3.59,14.31,1.12,1.03,"NAN","NAN","NAN","NAN",3.752
"2026-01-02 15:20:00",39897,3.53,14.09,0.96,0.88,"NAN","NAN","NAN","NAN",3.742
"2026-01-02 15:30:00",39898,3.63,14.5,1.05,0.97,"NAN","NAN","NAN","NAN",3.741
