Reservoir; Site; DataStream; TIMESTAMP_start; TIMESTAMP_end; start_parameter; end_parameter; flag;update_value;adjustment_code; notes
FCR;50; CAT; 2020-11-02 11:21:00 EST; 2020-11-02 11:30:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-11-09 10:25:00 EST; 2020-11-09 10:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-11-09 11:30:00 EST; 2020-11-09 11:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for maintenance
FCR;50; CAT; 2020-11-24 11:30:00 EST; 2020-11-24 11:55:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-12-02 12:25:00 EST; 2020-12-02 12:57:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-12-02 15:00:00 EST; 2020-12-02 18:00:00 EST; RDO_mgL_9; RDOsat_percent_9;2; NA; NA; removing questionable DO values
FCR;50; CAT; 2020-12-02 12:50:00 EST; 2020-12-27 12:40:00 EST; EXOTemp_C_1; EXOWiper_V;1; NA; NA; EXO sent for cleaning and calibration
FCR;50; CAT; 2021-01-07 09:40:00 EST; 2021-01-07 09:55:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-01-07 10:00:00 EST; 2021-01-07 11:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; troubleshooting broken thermistors
FCR;50; CAT; 2021-02-08 14:25:00 EST; 2021-02-08 14:45:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-02-08 17:40:00 EST; 2021-02-08 18:10:00 EST; RDO_mgL_9; RDOsat_percent_9;2; NA; NA; removing questionable DO values
FCR;50; CAT; 2021-02-08 14:30:00 EST; 2021-02-26 12:00:00 EST; ThermistorTemp_C_1; NA;1; NA; NA; thermistor broken removed and replaced
FCR;50; CAT; 2021-02-08 14:30:00 EST; 2021-02-26 12:00:00 EST; ThermistorTemp_C_4; NA;1; NA; NA; thermistor broken removed and replaced
FCR;50; CAT; 2021-02-26 10:40:00 EST; 2021-02-26 14:00:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and testing Sunappee Temp String
FCR;50; CAT; 2021-03-22 10:50:00 EST; 2021-03-22 11:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and calibrate DO and depth
FCR;50; CAT; 2021-04-16 11:50:00 EST; 2021-04-16 12:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and calibration
FCR;50; CAT; 2021-04-16 11:50:00 EST; 2021-04-26 13:10:00 EST; EXOfDOM_RFU_1; EXOfDOM_QSU_1;1; NA; NA; bad fdom calibration
FCR;50; CAT; 2021-04-26 10:55:00 EST; 2021-04-26 11:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-05-06 12:20:00 EST; 2021-05-06 13:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-05-14 13:45:00 EST; 2021-05-14 14:00:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-05-24 10:15:00 EST; 2021-05-24 10:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-05-31 10:55:00 EST; 2021-05-31 11:20:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-06-07 10:25:00 EST; 2021-06-07 14:20:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-06-07 12:40:00 EST; 2021-06-08 12:00:00 EST; RDO_mgL_9; RDOsat_percent_9;2; NA; NA; removing questionable DO values
FCR;50; CAT; 2021-06-11 09:41:00 EST; 2021-09-14 13:30:00 EST; RDO_mgL_5; RDOsat_percent_5;5; NA; NA; questionable because HOX system was working intermittently 
FCR;50; CAT; 2021-06-11 09:41:00 EST; 2021-09-14 13:30:00 EST; RDO_mgL_9; RDOsat_percent_9;5; NA; NA; questionable because HOX system was working intermittently
FCR;50; CAT; 2021-06-15 09:00:00 EST; 2021-06-15 13:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-06-16 08:10:00 EST; 2021-06-16 08:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-06-18 10:00:00 EST; 2021-06-21 10:00:00 EST; ThermistorTemp_C_surface; RDOTemp_C_9;1; NA; NA; sensor string up for cleaning and then it was tangled so not measuring the correct depth
FCR;50; CAT; 2021-06-18 10:00:00 EST; 2021-06-21 10:00:00 EST; LvlPressure_psi_9;  LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and then it was tangled so not measuring the correct depth
FCR;50; CAT; 2021-06-18 10:00:00 EST; 2021-06-18 10:40:00 EST; EXOTemp_C_1; EXOWiper_V;1; NA; NA; sensor string up for cleaning and then it was tangled but EXO was fine
FCR;50; CAT; 2021-06-21 09:40:00 EST; 2021-06-21 10:00:00 EST; EXOTemp_C_1; EXOWiper_V;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-06-28 14:10:00 EST; 2021-06-28 14:30:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and SSS not working
FCR;50; CAT; 2021-07-12 16:00:00 EST; 2021-07-12 16:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and SSS off
FCR;50; CAT; 2021-07-21 13:20:00 EST; 2021-07-26 12:00:00 EST; ThermistorTemp_C_surface; RDOTemp_C_9;1; NA; NA; sensor string up for cleaning and then it was tangled so not measuring the correct depth
FCR;50; CAT; 2021-07-21 13:20:00 EST; 2021-07-26 12:00:00 EST; LvlPressure_psi_9;  LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and then it was tangled so not measuring the correct depth
FCR;50; CAT; 2021-07-21 13:20:00 EST; 2021-07-21 13:40:00 EST; EXOTemp_C_1; EXOWiper_V;1; NA; NA; sensor string up for cleaning and then it was tangled but EXO was fine
FCR;50; CAT; 2021-07-26 11:50:00 EST; 2021-07-26 12:00:00 EST; EXOTemp_C_1; EXOWiper_V;1; NA; NA; sensor string up for cleaning and turned on SSS with Alicat from CCR
FCR;50; CAT; 2021-08-02 10:30:00 EST; 2021-08-02 10:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning. Not sure O2 is being added to the system
FCR;50; CAT; 2021-08-09 13:30:00 EST; 2021-08-09 14:30:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and played with SSS pump rate
FCR;50; CAT; 2021-08-16 10:30:00 EST; 2021-08-16 11:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and calibrated EXO DO
FCR;50; CAT; 2021-08-17 06:10:00 EST; 2021-08-17 10:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and calibrated the RDO at 9m and check the 5m one
FCR;50; CAT; 2021-08-20 14:30:00 EST; 2021-08-20 15:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-08-23 12:50:00 EST; 2021-08-23 13:20:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-08-24 10:20:00 EST; 2021-08-24 10:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and anti-fouling cap was removed because it was casuing fouling
FCR;50; CAT; 2021-08-31 11:20:00 EST; 2021-08-31 12:20:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and installed new DO cap at 5m
FCR;50; CAT; 2021-09-06 13:00:00 EST; 2021-09-06 13:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-09-14 13:10:00 EST; 2021-09-14 13:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning and put in fixed Alicat in the SSS system and O2 should be good
FCR;50; CAT; 2021-09-21 14:00:00 EST; 2021-09-21 14:30:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2021-09-27 12:40:00 EST; 2021-09-27 13:20:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
